"date" , "count" , "lang" , "page" , "rank" , "month" , "title"
"2015-04-30" , "2189" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-08" , "2027" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-09" , "2393" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-01" , "2126" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-02" , "2263" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-03" , "1781" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-04" , "1861" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-05" , "1901" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-06" , "2255" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-07" , "2122" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-26" , "1674" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-27" , "2391" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-24" , "2086" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-25" , "1563" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-22" , "2482" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-23" , "2275" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-20" , "2326" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-21" , "2244" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-28" , "2248" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-29" , "2301" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-19" , "1697" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-18" , "1689" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-17" , "1926" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-16" , "2207" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-15" , "2134" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-14" , "2144" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-13" , "2279" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-12" , "1846" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-11" , "1592" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-10" , "2070" , "en" , "Cheese" , "705" , "201504" , "Cheese"
"2015-04-30" , " 279" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-08" , " 293" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-09" , " 320" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-01" , " 249" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-02" , " 276" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-03" , " 183" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-04" , " 206" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-05" , " 174" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-06" , " 222" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-07" , " 245" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-26" , " 232" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-27" , " 326" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-24" , " 272" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-25" , " 199" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-22" , " 268" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-23" , " 299" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-20" , " 339" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-21" , " 328" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-28" , " 302" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-29" , " 311" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-19" , " 228" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-18" , " 170" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-17" , " 273" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-16" , " 263" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-15" , " 264" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-14" , " 268" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-13" , " 329" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-12" , " 329" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-11" , " 229" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
"2015-04-10" , " 268" , "de" , "K%C3%A4se" , "6057" , "201504" , "Käse"
