"","date","count"
"1",2014-09-19,1548
"2",2014-09-18,1919
"3",2014-09-30,1883
"4",2014-09-15,1992
"5",2014-09-14,1903
"6",2014-09-17,1994
"7",2014-09-16,1986
"8",2014-09-11,1936
"9",2014-09-10,2189
"10",2014-09-13,1395
"11",2014-09-12,1618
"12",2014-09-26,1467
"13",2014-09-20,1105
"14",2014-09-21,1515
"15",2014-09-22,2160
"16",2014-09-23,1617
"17",2014-09-24,4070
"18",2014-09-25,1771
"19",2014-09-08,1684
"20",2014-09-09,2058
"21",2014-09-06,1351
"22",2014-09-07,2071
"23",2014-09-04,1630
"24",2014-09-05,1536
"25",2014-09-02,2251
"26",2014-09-03,3236
"27",2014-09-01,2087
"28",2014-09-28,1357
"29",2014-09-27,1061
"30",2014-09-29,1914
"31",2014-10-01,1885
"32",2014-10-02,1561
"33",2014-10-03,2410
"34",2014-10-04,1460
"35",2014-10-05,1933
"36",2014-10-06,2295
