"","date","count"
"1",2014-09-19,14696
"2",2014-09-18,17173
"3",2014-09-30,21472
"4",2014-09-15,16696
"5",2014-09-14,14082
"6",2014-09-17,18320
"7",2014-09-16,18836
"8",2014-09-11,25515
"9",2014-09-10,17548
"10",2014-09-13,12737
"11",2014-09-12,19246
"12",2014-09-26,19272
"13",2014-09-20,13046
"14",2014-09-21,13082
"15",2014-09-22,42311
"16",2014-09-23,17442
"17",2014-09-24,20550
"18",2014-09-25,20226
"19",2014-09-08,16209
"20",2014-09-09,16460
"21",2014-09-06,13715
"22",2014-09-07,14789
"23",2014-09-04,18782
"24",2014-09-05,16835
"25",2014-09-02,15388
"26",2014-09-03,39110
"27",2014-09-01,13552
"28",2014-09-28,15419
"29",2014-09-27,13583
"30",2014-09-29,20061
"31",2014-10-01,20394
"32",2014-10-02,17999
"33",2014-10-03,16475
"34",2014-10-04,16683
"35",2014-10-05,13545
"36",2014-10-06,18672
"37",2014-10-07,17766
