"","date","count"
"1",2014-09-19,4198
"2",2014-09-18,4230
"3",2014-09-30,11656
"4",2014-09-15,3063
"5",2014-09-14,2175
"6",2014-09-17,5327
"7",2014-09-16,5261
"8",2014-09-11,4585
"9",2014-09-10,5362
"10",2014-09-13,2522
"11",2014-09-12,3222
"12",2014-09-26,3116
"13",2014-09-20,2517
"14",2014-09-21,2401
"15",2014-09-22,3300
"16",2014-09-23,5213
"17",2014-09-24,4289
"18",2014-09-25,4105
"19",2014-09-08,3999
"20",2014-09-09,5408
"21",2014-09-06,3335
"22",2014-09-07,2920
"23",2014-09-04,6675
"24",2014-09-05,6017
"25",2014-09-02,5895
"26",2014-09-03,19638
"27",2014-09-01,3853
"28",2014-09-28,2414
"29",2014-09-27,2198
"30",2014-09-29,3119
"31",2014-10-01,30741
"32",2014-10-02,30267
"33",2014-10-03,30078
"34",2014-10-04,15793
"35",2014-10-05,15140
"36",2014-10-06,23657
"37",2014-10-07,28028
