"","date","count"
"1",2014-09-19,1778
"2",2014-09-18,1886
"3",2014-09-30,2054
"4",2014-09-15,6546
"5",2014-09-14,5799
"6",2014-09-17,2812
"7",2014-09-16,3219
"8",2014-09-11,1424
"9",2014-09-10,1449
"10",2014-09-13,14060
"11",2014-09-12,101585
"12",2014-09-26,1842
"13",2014-09-20,1583
"14",2014-09-21,1329
"15",2014-09-22,2254
"16",2014-09-23,3320
"17",2014-09-24,3216
"18",2014-09-25,3072
"19",2014-09-08,3643
"20",2014-09-09,1640
"21",2014-09-06,737
"22",2014-09-07,890
"23",2014-09-04,1320
"24",2014-09-05,1562
"25",2014-09-02,1078
"26",2014-09-03,2588
"27",2014-09-01,840
"28",2014-09-28,941
"29",2014-09-27,875
"30",2014-09-29,1739
"31",2014-10-01,1892
"32",2014-10-02,1974
"33",2014-10-03,1638
"34",2014-10-04,800
"35",2014-10-05,826
"36",2014-10-06,1272
"37",2014-01-15,1534
"38",2014-01-14,1454
"39",2014-01-17,1811
"40",2014-01-16,1767
"41",2014-01-11,1254
"42",2014-01-10,1372
"43",2014-01-13,1377
"44",2014-01-12,770
"45",2014-01-19,830
"46",2014-01-18,801
"47",2014-01-28,1484
"48",2014-01-29,1482
"49",2014-01-20,1319
"50",2014-01-21,1505
"51",2014-01-22,1435
"52",2014-01-23,2228
"53",2014-01-24,1949
"54",2014-01-25,799
"55",2014-01-26,772
"56",2014-01-27,1316
"57",2014-01-06,0
"58",2014-01-07,2583
"59",2014-01-04,1378
"60",2014-01-05,717
"61",2014-01-02,946
"62",2014-01-03,938
"63",2014-01-01,694
"64",2014-01-08,1867
"65",2014-01-09,1601
"66",2014-01-31,1464
"67",2014-01-30,1579
"68",2014-02-23,732
"69",2014-02-07,1523
"70",2014-02-06,1735
"71",2014-02-05,1570
"72",2014-02-04,1675
"73",2014-02-03,1220
"74",2014-02-02,1002
"75",2014-02-01,839
"76",2014-02-25,1622
"77",2014-02-24,1447
"78",2014-02-27,1539
"79",2014-02-26,1701
"80",2014-02-21,1403
"81",2014-02-20,1586
"82",2014-02-09,1035
"83",2014-02-22,828
"84",2014-02-28,1993
"85",2014-02-10,1530
"86",2014-02-11,1625
"87",2014-02-12,1481
"88",2014-02-13,1559
"89",2014-02-14,2294
"90",2014-02-15,901
"91",2014-02-16,969
"92",2014-02-17,1235
"93",2014-02-18,1517
"94",2014-02-19,1376
"95",2014-02-08,764
"96",2014-03-13,1750
"97",2014-03-12,1956
"98",2014-03-11,1366
"99",2014-03-10,1322
"100",2014-03-17,1788
"101",2014-03-16,1633
"102",2014-03-15,728
"103",2014-03-14,1653
"104",2014-03-31,1641
"105",2014-03-30,815
"106",2014-03-19,1593
"107",2014-03-18,1318
"108",2014-03-29,767
"109",2014-03-22,757
"110",2014-03-23,823
"111",2014-03-20,1506
"112",2014-03-28,1236
"113",2014-03-21,1496
"114",2014-03-08,716
"115",2014-03-09,790
"116",2014-03-04,1373
"117",2014-03-05,1412
"118",2014-03-06,1373
"119",2014-03-07,1329
"120",2014-03-26,1697
"121",2014-03-01,778
"122",2014-03-02,785
"123",2014-03-03,1213
"124",2014-03-24,1316
"125",2014-03-25,1606
"126",2014-03-27,1710
"127",2014-04-30,1368
"128",2014-04-16,1440
"129",2014-04-17,1402
"130",2014-04-14,1748
"131",2014-04-15,1439
"132",2014-04-12,772
"133",2014-04-13,679
"134",2014-04-10,1635
"135",2014-04-11,1463
"136",2014-04-18,882
"137",2014-04-19,660
"138",2014-04-29,1563
"139",2014-04-28,1359
"140",2014-04-27,731
"141",2014-04-26,720
"142",2014-04-25,1305
"143",2014-04-24,1390
"144",2014-04-23,1413
"145",2014-04-22,1798
"146",2014-04-21,1038
"147",2014-04-20,638
"148",2014-04-05,727
"149",2014-04-04,1407
"150",2014-04-07,1333
"151",2014-04-06,714
"152",2014-04-01,1281
"153",2014-04-03,1602
"154",2014-04-02,1411
"155",2014-04-09,1523
"156",2014-04-08,1486
"157",2014-05-27,1218
"158",2014-05-06,1294
"159",2014-05-21,1480
"160",2014-05-22,1650
"161",2014-05-23,1416
"162",2014-05-19,2063
"163",2014-05-18,1085
"164",2014-05-31,676
"165",2014-05-30,1268
"166",2014-05-11,682
"167",2014-05-10,645
"168",2014-05-13,1360
"169",2014-05-12,1314
"170",2014-05-15,2383
"171",2014-05-14,1802
"172",2014-05-17,1220
"173",2014-05-16,3181
"174",2014-05-08,1446
"175",2014-05-09,1230
"176",2014-05-28,1409
"177",2014-05-29,1293
"178",2014-05-02,1264
"179",2014-05-03,665
"180",2014-05-26,985
"181",2014-05-01,1266
"182",2014-05-20,1481
"183",2014-05-07,1338
"184",2014-05-04,713
"185",2014-05-05,1379
"186",2014-05-24,748
"187",2014-05-25,635
"188",2014-06-14,739
"189",2014-06-15,1105
"190",2014-06-16,1135
"191",2014-06-17,1213
"192",2014-06-10,1460
"193",2014-06-11,1395
"194",2014-06-12,1497
"195",2014-06-13,1262
"196",2014-06-18,1339
"197",2014-06-19,1298
"198",2014-06-09,1220
"199",2014-06-08,2281
"200",2014-06-03,1639
"201",2014-06-02,1252
"202",2014-06-01,629
"203",2014-06-07,665
"204",2014-06-06,1272
"205",2014-06-05,1354
"206",2014-06-04,1734
"207",2014-06-21,557
"208",2014-06-20,1149
"209",2014-06-23,1058
"210",2014-06-22,614
"211",2014-06-25,1224
"212",2014-06-24,1273
"213",2014-06-27,1090
"214",2014-06-26,1173
"215",2014-06-29,677
"216",2014-06-28,644
"217",2014-06-30,1287
"218",2014-07-17,1648
"219",2014-07-16,1469
"220",2014-07-15,7312
"221",2014-07-14,12900
"222",2014-07-13,789
"223",2014-07-12,596
"224",2014-07-11,1107
"225",2014-07-10,1408
"226",2014-07-31,1412
"227",2014-07-30,1459
"228",2014-07-19,576
"229",2014-07-18,1263
"230",2014-07-28,1116
"231",2014-07-29,1333
"232",2014-07-26,606
"233",2014-07-27,608
"234",2014-07-01,1258
"235",2014-07-02,1723
"236",2014-07-03,1436
"237",2014-07-04,6534
"238",2014-07-05,1346
"239",2014-07-06,601
"240",2014-07-07,1260
"241",2014-07-08,1279
"242",2014-07-09,1206
"243",2014-07-24,1239
"244",2014-07-25,1134
"245",2014-07-22,1346
"246",2014-07-23,1216
"247",2014-07-20,613
"248",2014-07-21,1288
"249",2014-08-28,0
"250",2014-08-30,732
"251",2014-08-31,602
"252",2014-08-09,595
"253",2014-08-08,1093
"254",2014-08-21,1199
"255",2014-08-20,1144
"256",2014-08-27,1152
"257",2014-08-26,1175
"258",2014-08-25,1121
"259",2014-08-24,622
"260",2014-08-01,1359
"261",2014-08-03,601
"262",2014-08-02,563
"263",2014-08-05,1751
"264",2014-08-04,1119
"265",2014-08-07,1171
"266",2014-08-06,1437
"267",2014-08-23,518
"268",2014-08-22,1181
"269",2014-08-18,1269
"270",2014-08-19,1188
"271",2014-08-12,1214
"272",2014-08-13,1538
"273",2014-08-10,679
"274",2014-08-11,1097
"275",2014-08-16,634
"276",2014-08-17,599
"277",2014-08-14,1511
"278",2014-08-15,1266
"279",2014-08-29,1787
