"";"date";"count"
"27";2014-09-01;840
"25";2014-09-02;1078
"26";2014-09-03;2588
"23";2014-09-04;1320
"24";2014-09-05;1562
"21";2014-09-06;737
"22";2014-09-07;890
"19";2014-09-08;3643
"20";2014-09-09;1640
"9";2014-09-10;1449
"8";2014-09-11;1424
"11";2014-09-12;101585
"10";2014-09-13;14060
"5";2014-09-14;5799
"4";2014-09-15;6546
"7";2014-09-16;3219
"6";2014-09-17;2812
"2";2014-09-18;1886
"1";2014-09-19;1778
"13";2014-09-20;1583
"14";2014-09-21;1329
"15";2014-09-22;2254
"16";2014-09-23;3320
"17";2014-09-24;3216
"18";2014-09-25;3072
"12";2014-09-26;1842
"29";2014-09-27;875
"28";2014-09-28;941
"30";2014-09-29;1739
"3";2014-09-30;2054
"31";2014-10-01;1892
"32";2014-10-02;1974
"33";2014-10-03;1638
"34";2014-10-04;800
"35";2014-10-05;826
"36";2014-10-06;1272
"37";2014-10-07;1473
"38";2014-10-08;1312
"39";2014-10-09;1486
"57";2014-10-10;1107
"56";2014-10-11;652
"55";2014-10-12;610
"54";2014-10-13;1234
"53";2014-10-14;1282
"52";2014-10-15;1522
"51";2014-10-16;1648
"50";2014-10-17;1318
"59";2014-10-18;682
"58";2014-10-19;591
"44";2014-10-20;1870
"45";2014-10-21;1412
"42";2014-10-22;1154
"43";2014-10-23;3335
"40";2014-10-24;1409
"41";2014-10-25;865
"48";2014-10-26;585
"49";2014-10-27;1497
"46";2014-10-28;1118
"47";2014-10-29;1175
